Reporting Year,2023,,,,,,,Report Generated:,2025-01-27,
264,2023-06-22,1,1,7,ID010044,495.4,-0.05,520,2022-07-20,203
268,2023-06-21,15,0,7,ID010098,494.5,0.05,470,2022-09-07,285
394,2023-06-20,12,0,6,ID010084,977.4,0,977,2022-07-16,646
634,2023-06-16,10,5,6,ID010093,981.6,0.05,933,2022-08-17,933
284,2023-06-10,12,2,7,ID010044,977.4,0.1,880,2022-08-31,837
650,2023-06-09,3,1,6,ID010025,495.9,0.05,471,2022-06-30,242
579,2023-06-07,10,5,7,ID010043,981.6,-0.05,1031,2022-08-11,1031
595,2023-05-27,10,1,6,ID010047,981.6,0.05,933,2022-08-07,882
430,2023-05-22,3,4,6,ID010079,495.9,0.1,446,2022-07-09,438
312,2023-05-21,2,0,6,ID010042,997.4,-0.05,1047,2022-06-13,431
568,2023-05-14,3,1,7,ID010083,495.9,0,496,2022-06-15,496
320,2023-05-09,21,5,6,ID010013,1831.5,-0.05,1923,2022-08-05,1736
454,2023-05-08,4,5,6,ID010070,1479.6,0.15,1258,2022-06-27,1200
824,2023-05-04,14,4,7,ID010045,870.8,0,871,2022-06-30,871
332,2023-04-28,4,5,7,ID010026,1479.6,-0.05,1554,2022-07-23,1276
383,2023-04-27,6,0,7,ID010026,995.2,-0.05,1045,2022-06-10,1045
391,2023-04-22,12,2,6,ID010045,977.4,0,977,2022-05-14,977
470,2023-04-22,2,0,6,ID010009,997.4,0.1,898,2022-07-19,898
344,2023-04-21,9,0,6,ID010002,488.1,0.15,415,2022-06-22,405
96,2023-04-18,2,0,6,ID010073,997.4,0.1,898,2022-05-16,898
730,2023-04-15,3,2,6,ID010094,495.9,0.15,422,2022-04-30,420
360,2023-04-12,3,0,6,ID010023,495.9,-0.05,521,2022-05-08,521
407,2023-04-11,3,4,6,ID010092,495.9,0.15,422,2022-05-01,422
368,2023-04-07,4,0,7,ID010012,1479.6,0,1480,2022-06-27,1468
163,2023-04-06,1,4,7,ID010040,495.4,0.15,421,2022-07-08,421
742,2023-04-04,2,1,6,ID010096,997.4,0.15,848,2022-06-26,848
376,2023-04-02,18,4,6,ID010049,902.4,0,902,2022-06-09,902
380,2023-03-30,12,0,7,ID010003,977.4,0.1,880,2022-07-01,880
671,2023-03-24,5,1,6,ID010009,995.4,-0.05,1045,2022-04-21,1041
400,2023-03-18,11,3,7,ID010058,1462.2,0.1,1316,2022-05-07,1289
439,2023-03-17,6,2,7,ID010030,995.2,0.05,945,2022-04-15,933
451,2023-03-10,10,0,6,ID010082,981.6,0.05,933,2022-04-04,930
428,2023-02-24,3,3,7,ID010100,495.9,-0.05,521,2022-04-23,511
475,2023-02-19,13,2,6,ID010040,1899.2,0.15,1614,2022-03-10,1589
440,2023-02-14,2,4,6,ID010016,997.4,0.1,898,2022-03-05,884
444,2023-02-11,5,2,7,ID010002,995.4,0.15,846,2022-03-13,846
456,2023-02-05,2,4,7,ID010010,997.4,0,997,2022-03-22,991
460,2023-01-30,15,4,7,ID010046,494.5,0,495,2022-03-17,494
476,2023-01-19,10,0,7,ID010099,981.6,0,982,2022-03-05,982
484,2023-01-12,7,2,6,ID010017,495,0.1,446,2022-04-09,446
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<End of Report>,,,,,,,,,,
