Reporting Year,2024,,,,,,,Report Generated:,2025-01-27,
191,2024-03-11,5,5,2,ID010081,995.4,0,995,2023-05-26,524
172,2024-02-25,1,0,3,ID010087,495.4,0.15,421,2023-05-21,421
215,2024-02-23,10,0,2,ID010060,981.6,0.1,883,2023-04-01,742
184,2024-02-13,4,5,3,ID010024,1479.6,0,1480,2023-04-14,1480
188,2024-02-12,10,2,3,ID010020,981.6,-0.05,1031,2023-05-01,829
483,2024-02-12,6,4,3,ID010065,995.2,0.1,896,2023-04-06,896
448,2024-02-09,6,1,3,ID010053,995.2,0,995,2023-03-21,847
235,2024-02-08,17,3,2,ID010017,487.4,-0.05,512,2023-05-10,435
239,2024-02-04,3,0,2,ID010011,495.9,0.05,471,2023-04-09,471
243,2024-02-03,13,4,2,ID010003,1899.2,0,1899,2023-03-16,1107
247,2024-02-01,9,5,2,ID010036,488.1,-0.05,513,2023-03-28,181
204,2024-01-30,10,1,3,ID010059,981.6,0.15,834,2023-04-23,834
212,2024-01-26,6,4,3,ID010078,995.2,0.15,846,2023-04-08,602
236,2024-01-08,2,5,3,ID010052,997.4,-0.05,1047,2023-04-02,1047
244,2024-01-03,1,2,3,ID010040,495.4,0.05,471,2023-02-07,457
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<End of Report>,,,,,,,,,,
